has_url,lang,C(X),GT
no,es,0.21497163290247,False
yes,es,0.7032867270252098,True
no,en,0.5605082536188386,False
yes,en,0.3732590051269554,False
no,es,0.8346952969755663,True
yes,en,0.0766986557224193,False
yes,en,0.2931706258829988,False
yes,es,0.6390202434833506,False
yes,en,0.569385484695707,False
yes,es,0.4094284921788765,False
no,en,0.3217861236330378,False
no,en,0.7221647189694934,True
no,es,0.1429127587043983,False
yes,es,0.9100220701089602,False
no,es,0.2619116213476298,False
yes,es,0.9382632825193649,True
yes,en,0.4041699383201076,True
no,en,0.1987425076659436,False
yes,es,0.5214327921776476,False
no,es,0.5088543955817715,True
no,es,0.5160182244232039,False
no,es,0.3237651975226284,False
yes,es,0.6310932102481052,True
no,es,0.7825447253048652,True
no,es,0.7425534635573132,True
yes,es,0.17851149339168002,False
no,en,0.4268572305260894,False
yes,es,0.26734632103288214,False
yes,en,0.2711832610480347,False
yes,en,0.616430397821668,False
no,en,0.40533078910682935,True
yes,en,0.6947076115815666,False
no,es,0.17568528388568203,False
no,en,0.5387524444952245,False
yes,es,0.6231859477580511,False
no,en,0.07339336891521617,False
no,es,0.4361191146658447,True
yes,es,0.523041811149331,True
no,en,0.3933618434686072,False
yes,es,0.5823503048988031,True
yes,en,0.059976142394702836,True
no,en,0.3319422060754207,False
no,es,0.24015509393373327,False
no,es,0.4232664436181801,False
no,en,0.3202362155001448,False
no,en,0.521190023440069,True
yes,es,0.4792636416362536,False
no,es,0.46329476384643803,False
no,es,0.6225855835556965,False
yes,es,0.20432642397551948,True
yes,en,0.7559767221249487,False
no,es,0.27652584593175256,False
yes,en,0.4803834698646442,False
yes,es,0.6273574680751753,True
no,es,0.41419647839159957,False
no,en,0.34046211518685915,False
yes,es,0.31733432794961564,False
no,en,0.08740602863485285,False
no,es,0.2602994434213014,False
yes,en,0.6416816901751975,True
no,es,0.7226775498008163,True
yes,en,0.49596941459890004,True
no,es,0.3022894071522658,False
no,en,0.48911946191378786,False
no,en,0.5142568139010111,False
yes,es,0.6964857353588024,True
no,es,0.5701324919843112,False
no,en,0.49164245580167854,True
yes,en,0.0500759918509527,False
yes,en,0.4071018260097832,False
no,es,0.19235046852810178,False
no,es,0.4425423381457912,False
yes,es,0.5835415693542638,False
yes,en,0.3921872848680721,True
no,es,0.2089463005669628,False
no,es,0.5451832820676105,False
no,en,0.6741953550215585,False
yes,es,0.3132613170856832,False
no,en,0.26910014115604974,False
yes,en,0.30469169744808167,False
yes,es,0.8204823691129389,True
yes,es,0.5061248499768838,False
no,es,0.06984973347027268,False
yes,es,0.11803843415737918,False
yes,es,0.09293509044910336,False
yes,es,0.6530337295229544,False
yes,en,0.3646426026762918,False
yes,en,0.524552129595278,False
yes,en,0.5345719859712755,False
yes,es,0.3882254729069333,True
yes,es,0.5234150914179717,False
no,en,0.2691148271456054,False
no,en,0.1866741567038367,False
no,en,0.45179579911669143,False
yes,en,0.7018121337231119,False
no,es,0.26308135839164104,False
no,en,0.3483409229784164,False
yes,es,0.011550542503135364,True
no,es,0.4923171198907378,False
yes,en,0.3039499028744315,False
yes,en,0.1406467004279173,False
no,en,0.11097743324213027,False
yes,es,0.38639091238584483,False
yes,es,0.42707169706827025,False
yes,es,0.4889426041299437,False
no,es,0.5328732735735546,False
